"Source:","S:\cen\CPU\CPU6S\CPU6S.kicad_sch",,,,,
"U_D8, U_H13","2",74LS20,74LS20,Dual 4-input NAND,,Package_DIP:DIP-14_W7.62mm
"U_B7, U_B8","2",74LS30,74LS30,8-input NAND,,Package_DIP:DIP-14_W7.62mm
"U_A13, U_M10","2",74LS37,74LS37,Quad 2-input NAND buffer,,Package_DIP:DIP-14_W7.62mm
"U_A2, U_A14","2",74LS38,74LS38,Quad Buffer 2-input NAND Open collector,,Package_DIP:DIP-14_W7.62mm
"U_A1, U_B15, U_E15, U_F12, U_L10, U_M9","6",74LS74,74LS74,"Dual D Flip-flop, Set & Reset",,Package_DIP:DIP-14_W7.62mm
"U_L13","1",74LS109,74LS109,"Dual JK Flip-Flop, Set & Reset",,Package_DIP:DIP-16_W7.62mm
"U_D7, U_H12","2",SN74120,SN74120,Pulse Synchronizer/Driver,,Package_DIP:DIP-16_W7.62mm
"U_D3, U_E6, U_E7, U_H11, U_K11","5",74LS138,74LS138,Decoder 3 to 8 active low outputs,,Package_DIP:DIP-16_W7.62mm
"U_D2","1",74LS139,74LS139,"Dual Decoder 1 of 4, Active low outputs",,Package_DIP:DIP-16_W7.62mm
"U_J10, U_J11, U_K9","3",74LS151,74LS151,Multiplexer 8 to 1,,Package_DIP:DIP-16_W7.62mm
"U_J12, U_J13, U_F6, U_K13","4",74LS153,74LS153,Dual Multiplexer 4 to 1,,Package_DIP:DIP-16_W7.62mm
"U_B3, U_B4, U_C3, U_C4, U_C14, U_D6, U_L11","7",74LS157,74LS157,Quad 2 to 1 line Multiplexer,,Package_DIP:DIP-16_W7.62mm
"U_A4, U_A5, U_A6, U_A8, U_A9, U_A10, U_A7, UB11, U_M6, U_M7, U_M8, U_M14, U_M15","13",74LS240,74LS240,Octal Buffer/Line Driver with 3-State inverting Outputs,,Package_DIP:DIP-20_W7.62mm_Socket
"UA12","1",74LS240/756,74LS240,"Octal Buffer/Line Driver, inverting outputs, 74LS240 for 3-State Output, or 74LS756 for Open collector output",,Package_DIP:DIP-20_W7.62mm_Socket
"U_B1, U_B2, U_B5, U_B6, U_C1, U_C2, U_C5, U_C6, U_C15","9",74LS669,74LS669,Synchronous 4-bit Up/Down Binary counter,,Package_DIP:DIP-16_W7.62mm
"U_D4, U_D5, U_E5, U_F13","4",74LS174,74LS174,"Hex D-type Flip-Flop, reset",,Package_DIP:DIP-16_W7.62mm
"U_C11, U_D13","2",74LS374,74LS374,"8-bit Register, 3-state outputs",,Package_DIP:DIP-20_W7.62mm
"U_H6","1",74LS253,74LS253,"Dual Multiplexer 4 to 1, 3-State Outputs",,Package_DIP:DIP-16_W7.62mm
"U_F11, U_M13","2",74LS259,74LS259,8-bit addressable latch,,Package_DIP:DIP-16_W7.62mm
"U_H14","1",74LS368,74LS368,"Hex Bus Driver inverter, 3-state outputs",,Package_DIP:DIP-16_W7.62mm
"UA11","1",74LS373,74LS373,"8-bit Latch, 3-state outputs",,Package_DIP:DIP-20_W7.62mm_Socket
"UB12, U_C9, U_C13, U_F5, U_H5, U_J5, U_K5, U_L5, U_M5","9",74LS377,74LS377,8-bit Register,,Package_DIP:DIP-20_W7.62mm_Socket
"U_D9, U_D11, U_J9, U_M12","4",74LS378,74LS378,6-bit Register,,Package_DIP:DIP-16_W7.62mm
"U_B9, U_B10, U_D14, U_D15","4",AM93L422,AM93L422,"SRAM 256 x 4, Separated Read/Write port",,Package_DIP:DIP-22_W10.16mm_Socket
"U_F7, U_F9","2",AM2901,AM2901,4-Bit Microprocessor Slice,,Package_DIP:DIP-40_W15.24mm_Socket
"U_J7, U_K7","2",AM2909,AM2909,"AMD 4 Bit Slice Micro Control Sequencer, with AHR and OR inputs",,Package_DIP:DIP-28_W15.24mm_Socket
"U_L9","1",AM2911,AM2911,AMD 4 Bit Slice Micro Control Sequencer,,Package_DIP:DIP-20_W7.62mm_Socket
"U_B13","1",27C16,27C16,UV EPROM 16KiBit 2K x 8,,Package_DIP:DIP-24_W15.24mm_Socket_LongPads
"U_MWE2, U_MWF2, U_MWH2, U_MWJ2, U_MWK2, U_MWL2, U_MWM2","7",27C16/28C256,28C256,"DIP-24 or DIP-28, EPROM or EEPROM, 2K/4K/32K x 8",,Package_DIP_Custom:DIP-28_W15.24mm_Socket_LongPads
"XTAL1","1",15.000MHz,Crystal,Two pin crystal,,Crystal:Crystal_HC52-U_Horizontal
